,ID,Count
0,18288,345.7964497763582
1,18289,275.9636580636318
2,18290,233.55025359326606
3,18291,192.97423074223366
4,18292,162.4269931846864
5,18293,145.39895148845642
6,18294,156.3433550470948
7,18295,181.31699685636258
8,18296,208.79783498900164
9,18297,269.8124239467333
10,18298,382.96809330595045
11,18299,424.57034602463693
12,18300,429.06855119303896
13,18301,379.47768273811977
14,18302,405.75408342129606
15,18303,400.6290791720518
16,18304,390.4036510296745
17,18305,399.4983827909235
18,18306,409.33052523551714
19,18307,434.3410375789522
20,18308,417.3867369510559
21,18309,389.5863541889677
22,18310,390.9997246653779
23,18311,381.75751076746
24,18312,346.8486390331658
25,18313,276.803360138282
26,18314,234.26090018294173
27,18315,193.5614126307667
28,18316,162.9212259547308
29,18317,145.84137134211943
30,18318,156.81907652619094
31,18319,181.86870811971497
32,18320,209.43316493227377
33,18321,270.63340904942476
34,18322,384.1333884202792
35,18323,425.86222845181385
36,18324,430.37412075655334
37,18325,380.63235723299545
38,18326,406.98871173444917
39,18327,401.8481131249515
40,18328,391.59157105516226
41,18329,400.71397626146506
42,18330,410.57603594395493
43,18331,435.66265026128826
44,18332,418.6567610962949
45,18333,390.7717873440554
46,18334,392.18945842341304
47,18335,382.9191223218728
48,18336,347.90082828997333
49,18337,277.64306221293214
50,18338,234.9715467726174
51,18339,194.14859451929965
52,18340,163.41545872477516
53,18341,146.2837911957824
54,18342,157.29479800528708
55,18343,182.42041938306733
56,18344,210.06849487554587
57,18345,271.45439415211615
58,18346,385.29868353460785
59,18347,427.15411087899054
60,18348,431.6796903200676
61,18349,381.78703172787095
62,18350,408.22334004760216
63,18351,403.06714707785113
64,18352,392.7794910806499
65,18353,401.9295697320067
66,18354,411.8215466523927
67,18355,436.98426294362434
68,18356,419.92678524153376
69,18357,391.95722049914286
70,18358,393.37919218144816
71,18359,384.08073387628554
72,18360,348.953017546781
73,18361,278.48276428758237
74,18362,235.68219336229305
75,18363,194.7357764078327
76,18364,163.90969149481958
77,18365,146.72621104944542
78,18366,157.77051948438327
79,18367,182.9721306464197
80,18368,210.70382481881802
81,18369,272.2753792548076
82,18370,386.46397864893663
83,18371,428.44599330616745
84,18372,432.9852598835819
85,18373,382.9417062227466
86,18374,409.4579683607552
87,18375,404.28618103075087
88,18376,393.96741110613766
89,18377,403.14516320254836
90,18378,413.0670573608305
91,18379,438.30587562596054
92,18380,421.19680938677277
93,18381,393.14265365423046
94,18382,394.56892593948334
95,18383,385.2423454306983
96,18384,350.0052068035886
97,18385,279.3224663622326
98,18386,236.39283995196874
99,18387,195.3229582963657
100,18388,164.40392426486397
101,18389,147.16863090310844
102,18390,158.2462409634794
103,18391,183.5238419097721
104,18392,211.33915476209015
105,18393,273.096364357499
106,18394,387.62927376326536
107,18395,429.73787573334425
108,18396,434.29082944709626
109,18397,384.0963807176222
110,18398,410.6925966739083
111,18399,405.5052149836506
112,18400,395.1553311316253
113,18401,404.36075667309
114,18402,414.3125680692683
115,18403,439.62748830829673
116,18404,422.4668335320116
117,18405,394.32808680931805
118,18406,395.75865969751857
119,18407,386.4039569851111
120,18408,351.0573960603962
121,18409,280.1621684368828
122,18410,237.10348654164443
123,18411,195.9101401848987
124,18412,164.8981570349084
125,18413,147.61105075677145
126,18414,158.7219624425756
127,18415,184.0755531731245
128,18416,211.97448470536227
129,18417,273.9173494601904
130,18418,388.7945688775941
131,18419,431.02975816052106
132,18420,435.5963990106106
133,18421,385.2510552124978
134,18422,411.9272249870614
135,18423,406.7242489365503
136,18424,396.34325115711306
137,18425,405.57635014363166
138,18426,415.55807877770616
139,18427,440.9491009906328
140,18428,423.7368576772506
141,18429,395.51351996440565
142,18430,396.94839345555374
143,18431,387.5655685395239
144,18432,352.1095853172038
145,18433,281.00187051153296
146,18434,237.8141331313201
147,18435,196.49732207343172
148,18436,165.3923898049528
149,18437,148.05347061043446
150,18438,159.19768392167174
151,18439,184.62726443647688
152,18440,212.6098146486344
153,18441,274.73833456288185
154,18442,389.9598639919229
155,18443,432.3216405876979
156,18444,436.90196857412485
157,18445,386.40572970737344
158,18446,413.16185330021443
159,18447,407.94328288944996
160,18448,397.5311711826007
161,18449,406.79194361417336
162,18450,416.803589486144
163,18451,442.27071367296895
164,18452,425.0068818224896
165,18453,396.69895311949324
166,18454,398.13812721358886
167,18455,388.7271800939367
168,18456,353.1617745740115
169,18457,281.8415725861832
170,18458,238.5247797209958
171,18459,197.0845039619647
172,18460,165.8866225749972
173,18461,148.49589046409747
174,18462,159.6734054007679
175,18463,185.17897569982927
176,18464,213.24514459190652
177,18465,275.5593196655733
178,18466,391.12515910625166
179,18467,433.6135230148747
180,18468,438.2075381376392
181,18469,387.56040420224906
182,18470,414.39648161336754
183,18471,409.1623168423497
184,18472,398.7190912080885
185,18473,408.00753708471495
186,18474,418.0491001945817
187,18475,443.5923263553051
188,18476,426.27690596772857
189,18477,397.88438627458083
190,18478,399.327860971624
191,18479,389.88879164834947
192,18480,354.21396383081895
193,18481,282.68127466083337
194,18482,239.23542631067141
195,18483,197.6716858504977
196,18484,166.3808553450416
197,18485,148.93831031776045
198,18486,160.14912687986407
199,18487,185.73068696318163
200,18488,213.88047453517862
201,18489,276.3803047682647
202,18490,392.2904542205803
203,18491,434.9054054420515
204,18492,439.51310770115344
205,18493,388.71507869712457
206,18494,415.63110992652054
207,18495,410.3813507952493
208,18496,399.9070112335761
209,18497,409.2231305552566
210,18498,419.2946109030195
211,18499,444.9139390376411
212,18500,427.54693011296746
213,18501,399.0698194296683
214,18502,400.51759472965915
215,18503,391.05040320276214
216,18504,355.2661530876266
217,18505,283.52097673548354
218,18506,239.94607290034713
